<<<<<<< HEAD
1;1;
2;2;
3;3;
4;4;
5;5;
6;6;1
7;7;2
8;8;3
9;9;4
10;10;5
11;11;6
12;12;7
13;13;8
14;14;9
15;15;10
16;;11
17;;12
18;;13
19;;14
20;;15
21;;
22;;
23;;
24;;
25;;
26;;
27;;
28;;
29;;
30;;
31;;
=======
1;1;1
2;2;2
3;3;3
4;4;4
5;5;5
6;6;6
7;7;7
8;8;8
9;9;9
10;10;10
11;11;11
12;12;12
13;13;13
14;14;14
15;15;15
16;16;16
17;17;17
18;18;18
19;19;19
20;20;20
21;21;21
22;22;22
23;23;23
24;24;24
25;25;25
26;26;26
27;27;27
28;28;28
29;29;29
30;30;30
>>>>>>> 93757f0416cc52702ae4177a6ac4bce830be393c
